Wavelength (nm),Transmission (Power Ratio)
1201.530837,0.13830264
1201.991261,0.195764916
1208.789114,0.203363183
1216.092847,0.258007008
1222.873105,0.28377568
1229.084431,0.3136072
1236.430687,0.346574717
1242.084812,0.370456694
1250.029326,0.370456694
1256.831579,0.379379066
1264.213027,0.374000182
1271.006481,0.39410399
1278.952462,0.392232565
1284.027391,0.435533619
1291.467492,0.354921898
1298.841608,0.358316793
1305.102789,0.336816824
1311.334643,0.348228299
1319.333412,0.291996922
1325.581395,0.286490047
1333.542039,0.271875781
1341.056922,0.173802202
1349.501452,0.216344428
1357.369718,0.277101741
1364.698378,0.324232324
1373.205959,0.328895446
1379.983284,0.365204311
1387.920467,0.374000182
1395.284319,0.390370027
1394.738849,0.363470118
1403.222968,0.397873668
1403.249362,0.365204311
1410.613214,0.381189164
1419.157453,0.343291074
1425.961172,0.34988977
1434.467286,0.356615305
1441.269539,0.365204311
1449.247779,0.327333667
1456.617496,0.335217431
1465.138274,0.325779305
1471.936127,0.338423849
1480.475967,0.309160837
1487.291416,0.303330262
1495.250594,0.289230379
1502.661368,0.259238014
1511.20854,0.231252419
1518.648641,0.188450544
1528.282354,0.196698952
1536.748878,0.227973692
1545.755007,0.289230379
1554.808059,0.315103486
1562.745242,0.322692689
1572.933224,0.351559168
1580.313206,0.348228299
1589.370656,0.374000182
1597.879703,0.377577564
1606.975278,0.358316793
1616.059122,0.353236531
1624.566703,0.358316793
1633.07575,0.36174416
1642.725593,0.358316793
