Wavelength (nm),Efficiency (%)
1000.398806,0.520796224
1005.487262,0.531459893
1011.708119,0.539489496
1016.230806,0.550145671
1021.320126,0.558160284
1025.845409,0.560869288
1030.36723,0.574174519
1035.455686,0.584838192
1041.11164,0.590211242
1046.19923,0.603523966
1051.288551,0.611538579
1056.377006,0.622202247
1061.466326,0.63021686
1065.989878,0.63822398
1071.078334,0.648887653
1076.733423,0.656909759
1081.256975,0.664916878
1086.912064,0.672938984
1092.001384,0.680953597
1096.525801,0.686311661
1101.047623,0.699616892
1106.703577,0.704989942
1111.226264,0.715646118
1115.748951,0.726302293
1121.404905,0.731675343
1125.927592,0.742331519
1131.583546,0.747704569
1136.105368,0.7610098
1140.62892,0.76901692
1146.284874,0.77438997
1151.372464,0.787702698
1155.896881,0.793060758
1161.552835,0.798433808
1166.075522,0.809089988
1171.731476,0.814463038
1176.819932,0.825126707
1180.211082,0.835767892
1185.301267,0.841133449
1191.522125,0.849163052
1197.177214,0.857185158
1201.699901,0.867841333
1206.225183,0.870550342
1211.312773,0.883863066
1217.535361,0.886594553
1221.493144,0.89459418
1226.016696,0.9026013
1231.67265,0.90797435
1236.197067,0.91333241
1242.983693,0.921369506
1248.640512,0.9240935
1252.600891,0.924145956
1257.127903,0.921556853
1260.529435,0.900409362
1266.186254,0.903133356
1270.712401,0.903193309
1276.935854,0.903275741
1280.897098,0.900679141
1287.121415,0.898112517
1292.218522,0.88228562
1296.749859,0.866451235
1299.584757,0.84794531
1304.197413,0.583099629
1308.722696,0.585808638
1313.810286,0.599121362
1318.900471,0.604486919
1323.992387,0.604554365
1330.212379,0.615233019
1334.736797,0.620591083
1339.826982,0.625956641
1346.04957,0.628688128
1351.13889,0.636702741
1356.794844,0.642075791
1361.318396,0.650082911
1366.409447,0.652799412
1371.498767,0.660814025
1376.590683,0.660881467
