wavelength_um,snr
1.204999999999999849e+00,1.111395347300389780e+01
1.205016434648105150e+00,1.111649276748497783e+01
1.205032869296210229e+00,1.112069310408032230e+01
1.205049303944315309e+00,1.112550949682320045e+01
1.205065738592420610e+00,1.112986708942834468e+01
1.205082173240525911e+00,1.113307561137901835e+01
1.205098607888630990e+00,1.113628469508977226e+01
1.205115042536736292e+00,1.113773747741577402e+01
1.205131477184841371e+00,1.113885934280078871e+01
1.205147911832946450e+00,1.113997822958686079e+01
1.205164346481051751e+00,1.114109260451891181e+01
1.205180781129156831e+00,1.114220696001003574e+01
1.205197215777262132e+00,1.114284854754309428e+01
1.205213650425367211e+00,1.114346664449073643e+01
1.205230085073472290e+00,1.114339205004918476e+01
1.205246519721577592e+00,1.114264777522759609e+01
1.205262954369682893e+00,1.114197391804928117e+01
1.205279389017787972e+00,1.114233637177132330e+01
1.205295823665893273e+00,1.114269858444984429e+01
1.205312258313998353e+00,1.114431716450675935e+01
1.205328692962103432e+00,1.114670758083947710e+01
1.205345127610208733e+00,1.114805555065325571e+01
1.205361562258313812e+00,1.114448376111713657e+01
1.205377996906419114e+00,1.114091045637707289e+01
1.205394431554524415e+00,1.114166980462897527e+01
1.205410866202629494e+00,1.114403067140119141e+01
1.205427300850734573e+00,1.114698127687304918e+01
1.205443735498839875e+00,1.115140817192905409e+01
1.205460170146944954e+00,1.115583594044775495e+01
1.205476604795050255e+00,1.115571127218281156e+01
1.205493039443155334e+00,1.115472218230545920e+01
1.205509474091260413e+00,1.115444988629777079e+01
1.205525908739365715e+00,1.115527357155635535e+01
1.205542343387470794e+00,1.115609715272294977e+01
1.205558778035576095e+00,1.116198623275562696e+01
1.205575212683681174e+00,1.116814040129503027e+01
1.205591647331786476e+00,1.117228258325293488e+01
1.205608081979891555e+00,1.117445517001730870e+01
1.205624516627996856e+00,1.117657651311476741e+01
1.205640951276101935e+00,1.117789301710779704e+01
1.205657385924207015e+00,1.117920955965879060e+01
1.205673820572312316e+00,1.118018662147550835e+01
1.205690255220417395e+00,1.118095095279387863e+01
1.205706689868522696e+00,1.118154814591445501e+01
1.205723124516627998e+00,1.118132678308686501e+01
1.205739559164733077e+00,1.118110500242629080e+01
1.205755993812838156e+00,1.118093893215082346e+01
1.205772428460943457e+00,1.118079385396235992e+01
1.205788863109048537e+00,1.118174348646140182e+01
1.205805297757153838e+00,1.118552956987012514e+01
1.205821732405258917e+00,1.118931636311739908e+01
1.205838167053363996e+00,1.119122369842481923e+01
1.205854601701469297e+00,1.119275408155068163e+01
1.205871036349574599e+00,1.119324925272757376e+01
1.205887470997679678e+00,1.119210579389215710e+01
1.205903905645784979e+00,1.119096162986140897e+01
1.205920340293890058e+00,1.119378354088125072e+01
1.205936774941995138e+00,1.119685266623314313e+01
1.205953209590100439e+00,1.119876035315805218e+01
1.205969644238205518e+00,1.119948535782094901e+01
1.205986078886310819e+00,1.120016443110716153e+01
1.206002513534415899e+00,1.119996650347456502e+01
1.206018948182521200e+00,1.119976816549777077e+01
1.206035382830626279e+00,1.120205317889844920e+01
1.206051817478731580e+00,1.120596949393663522e+01
1.206068252126836660e+00,1.120955962081431068e+01
1.206084686774941961e+00,1.121140188801574133e+01
1.206101121423047040e+00,1.121324434247430801e+01
1.206117556071152119e+00,1.121468101896211955e+01
1.206133990719257421e+00,1.121595302637175529e+01
1.206150425367362500e+00,1.121720554931120795e+01
1.206166860015467801e+00,1.121840399212605455e+01
1.206183294663573102e+00,1.121960243907850696e+01
1.206199729311678182e+00,1.122044710855291427e+01
1.206216163959783261e+00,1.122121333193764059e+01
1.206232598607888562e+00,1.122221452024219879e+01
1.206249033255993641e+00,1.122352454296042268e+01
1.206265467904098942e+00,1.122483453575796375e+01
1.206281902552204022e+00,1.122603380006614593e+01
1.206298337200309101e+00,1.122722411531981557e+01
1.206314771848414402e+00,1.122921261180557551e+01
